after_week,run_date,n_picks,avg_raw_prob,actual_win_rate,correction_pp,next_week_correction
8,2025-04-21,40,6209.25,57.5,0.0,-4.59
9,2025-04-28,45,6207.33,57.78,-4.59,-4.3
10,2025-05-05,50,6193.6,56.0,-4.3,-5.94
11,2025-05-12,55,6186.18,58.18,-5.94,-3.68
12,2025-05-19,60,6186.83,60.0,-3.68,-1.87
13,2025-05-26,65,6184.31,55.38,-1.87,-6.46
14,2025-06-02,70,6185.0,57.14,-6.46,-4.71
15,2025-06-09,75,6192.53,60.0,-4.71,-1.93
16,2025-06-16,80,6203.12,57.5,-1.93,-4.53
17,2025-06-23,85,6205.06,57.65,-4.53,-4.4
18,2025-06-30,90,6212.67,56.67,-4.4,-5.46
19,2025-07-07,95,6216.21,56.84,-5.46,-5.32
20,2025-07-14,100,6219.4,57.0,-5.32,-5.19
21,2025-07-21,105,6229.24,54.29,-5.19,-8.01
22,2025-07-28,110,6228.55,54.55,-8.01,-7.74
23,2025-08-04,115,6228.96,53.91,-7.74,-8.38
24,2025-08-11,120,6227.5,55.0,-8.38,-7.27
25,2025-08-18,125,6236.24,56.0,-7.27,-6.36
26,2025-08-25,130,6243.54,53.85,-6.36,-8.59
27,2025-09-01,135,6240.22,54.07,-8.59,-8.33
28,2025-09-08,140,6242.29,52.86,-8.33,-9.57
29,2025-09-15,145,6247.86,52.41,-9.57,-10.06
30,2025-09-22,150,6248.13,53.33,-10.06,-9.15
31,2025-09-29,155,6251.1,53.55,-9.15,-8.96
32,2025-10-06,160,6253.31,53.12,-8.96,-9.41
33,2025-10-13,165,6251.52,52.73,-9.41,-9.79
34,2025-10-20,170,6252.94,54.12,-9.79,-8.41
35,2025-10-27,175,6256.11,54.29,-8.41,-8.28
36,2025-11-03,180,6252.61,53.33,-8.28,-9.19
37,2025-11-10,185,6254.43,52.43,-9.19,-10.11
38,2025-11-17,190,6252.84,51.58,-10.11,-10.95
39,2025-11-24,195,6254.0,52.31,-10.95,-10.23
40,2025-12-01,200,6256.2,51.5,-10.23,-11.06
41,2025-12-08,205,6256.68,51.71,-11.06,-10.86
42,2025-12-15,210,6259.19,51.9,-10.86,-10.69
43,2025-12-22,215,6260.14,52.56,-10.69,-10.04
44,2025-12-29,220,6261.05,53.64,-10.04,-8.97
45,2026-01-05,225,6262.36,53.78,-8.97,-8.85
46,2026-01-12,230,6262.26,53.48,-8.85,-9.14
47,2026-01-19,235,6262.17,53.19,-9.14,-9.43
48,2026-01-26,240,6261.17,54.17,-9.43,-8.45
49,2026-02-02,245,6263.67,53.47,-8.45,-9.17
50,2026-02-09,250,6264.84,53.6,-9.17,-9.05
51,2026-02-16,255,6265.92,53.73,-9.05,-8.93
52,2026-02-23,260,6265.35,53.85,-8.93,-8.81
