week_date,ticker,sector,buy_date,buy_price_p,total_paid_gbp,shares,stamp_duty_gbp,net_invested_gbp,sell_date,sell_price_p,gross_proceeds_gbp,net_profit_gbp,net_profit_pct,status
2026-03-10 07:40,IGG,FinServices,2026-03-10,1350.0,203.22,14.9784,1.011,202.21,2026-03-16,1357.0,203.26,0.04,0.0182,closed
2026-03-10 07:40,FGEN,FinServices,2026-03-10,74.7,167.0,222.4487,0.8308,166.17,2026-03-16,71.2,158.38,-8.62,-5.1596,closed
2026-03-10 07:40,FCH,FinServices,2026-03-10,149.8,167.0,110.9273,0.8308,166.17,2026-03-13,136.2,151.08,-15.92,-9.5311,closed
2026-03-10 07:40,BAG,ConsStaples,2026-03-10,680.0,146.88,21.4925,0.7307,146.15,2026-03-16,665.0,142.93,-3.95,-2.6926,closed
2026-03-10 07:40,TRN,Industrials,2026-03-10,197.2,315.9,159.3957,1.5716,314.33,2026-03-16,201.6,321.34,5.44,1.7226,closed
2026-03-17 08:17,DOM,Leisure,2026-03-17,183.3,64.73,35.138,0.322,64.41,2026-03-20,173.5,60.96,-3.77,-5.8173,closed
2026-03-17 08:17,VOD,Telecoms,2026-03-17,110.0,330.46,298.9236,1.6441,328.82,,,,,,open
2026-03-17 08:17,INCH,Retail,2026-03-17,795.5,211.22,26.4198,1.0508,210.17,,,,,,open
2026-03-17 08:17,HGT,FinServices,2026-03-17,407.0,204.41,49.9737,1.017,203.39,,,,,,open
2026-03-17 08:17,TEP,Telecoms,2026-03-17,1346.0,166.93,12.3402,0.8305,166.1,2026-03-20,1292.0,159.44,-7.49,-4.4897,closed
